Time (ps)	Potential	Kinetic	Total
0.000000	-236868.843750	37890.976562	-198977.875000
10.000000	-236625.000000	37033.453125	-199591.546875
20.000000	-236521.312500	37428.527344	-199092.781250
30.000000	-237986.250000	37059.988281	-200926.265625
40.000000	-237346.375000	37297.812500	-200048.562500
50.000000	-236207.875000	37166.792969	-199041.078125
60.000000	-236788.828125	37054.542969	-199734.281250
70.000000	-236192.765625	37672.468750	-198520.296875
80.000000	-237116.328125	37508.648438	-199607.687500
90.000000	-237674.125000	37275.968750	-200398.156250
100.000000	-236850.171875	37856.765625	-198993.406250
110.000000	-237017.796875	37653.867188	-199363.937500
120.000000	-237316.812500	37453.234375	-199863.578125
130.000000	-237837.937500	37239.601562	-200598.343750
140.000000	-237201.781250	37577.539062	-199624.250000
150.000000	-237553.265625	37833.585938	-199719.687500
160.000000	-238000.437500	37475.390625	-200525.046875
170.000000	-236706.000000	37481.257812	-199224.750000
180.000000	-236916.453125	37296.773438	-199619.687500
190.000000	-236591.218750	37411.292969	-199179.921875
200.000000	-236358.906250	37354.171875	-199004.734375
210.000000	-237029.421875	37750.726562	-199278.687500
220.000000	-236308.531250	37736.468750	-198572.062500
230.000000	-237597.781250	37228.890625	-200368.890625
240.000000	-236856.531250	37405.437500	-199451.093750
250.000000	-236430.906250	37347.781250	-199083.125000
260.000000	-236858.531250	37165.875000	-199692.656250
270.000000	-237880.593750	37359.062500	-200521.531250
280.000000	-237319.140625	37234.847656	-200084.296875
290.000000	-237328.250000	37660.820312	-199667.437500
300.000000	-236725.250000	37723.042969	-199002.203125
310.000000	-237602.000000	37237.570312	-200364.437500
320.000000	-237734.718750	37106.351562	-200628.375000
330.000000	-236050.968750	37491.656250	-198559.312500
340.000000	-237488.890625	37595.613281	-199893.281250
350.000000	-237219.359375	37520.691406	-199698.671875
360.000000	-237354.109375	37668.585938	-199685.531250
370.000000	-237409.718750	37226.023438	-200183.687500
380.000000	-237384.453125	37550.960938	-199833.500000
390.000000	-236055.359375	37265.726562	-198789.625000
400.000000	-236180.578125	37845.421875	-198335.156250
410.000000	-236939.515625	37366.191406	-199573.328125
420.000000	-236963.078125	37285.515625	-199677.562500
430.000000	-237899.953125	37373.398438	-200526.562500
440.000000	-236733.109375	37405.617188	-199327.500000
450.000000	-236994.546875	36727.351562	-200267.187500
460.000000	-237058.281250	37289.750000	-199768.531250
470.000000	-237335.703125	37448.691406	-199887.015625
480.000000	-237109.843750	37373.265625	-199736.578125
490.000000	-237331.015625	37577.148438	-199753.875000
500.000000	-236174.328125	37370.843750	-198803.484375
510.000000	-236820.921875	37657.660156	-199163.265625
520.000000	-237257.953125	38119.726562	-199138.218750
530.000000	-237861.562500	37957.312500	-199904.250000
540.000000	-236704.656250	37925.250000	-198779.406250
550.000000	-236328.828125	37621.238281	-198707.593750
560.000000	-236581.562500	37248.273438	-199333.281250
570.000000	-237222.281250	37544.367188	-199677.906250
580.000000	-237028.093750	37202.867188	-199825.218750
590.000000	-236900.515625	37580.492188	-199320.031250
600.000000	-237385.843750	37038.078125	-200347.765625
610.000000	-237232.781250	37753.859375	-199478.921875
620.000000	-237167.578125	37487.511719	-199680.062500
630.000000	-236896.265625	37073.660156	-199822.609375
640.000000	-238005.656250	37203.207031	-200802.453125
650.000000	-236893.468750	37402.449219	-199491.015625
660.000000	-237165.625000	37623.921875	-199541.703125
670.000000	-236493.390625	37701.285156	-198792.109375
680.000000	-237247.625000	37788.011719	-199459.609375
690.000000	-236105.031250	36882.250000	-199222.781250
700.000000	-237506.406250	37310.718750	-200195.687500
710.000000	-238350.953125	37550.406250	-200800.546875
720.000000	-237000.250000	37648.648438	-199351.593750
730.000000	-237422.515625	37618.410156	-199804.109375
740.000000	-237325.218750	37593.777344	-199731.437500
750.000000	-236962.234375	37656.039062	-199306.187500
760.000000	-237062.765625	37548.597656	-199514.171875
770.000000	-236970.281250	36938.757812	-200031.531250
780.000000	-236598.062500	37764.945312	-198833.125000
790.000000	-236652.906250	37417.878906	-199235.031250
800.000000	-237624.906250	36959.671875	-200665.234375
810.000000	-237531.515625	37292.140625	-200239.375000
820.000000	-237287.234375	37416.500000	-199870.734375
830.000000	-237145.484375	37966.214844	-199179.265625
840.000000	-236637.250000	37591.765625	-199045.484375
850.000000	-237253.765625	37695.191406	-199558.578125
860.000000	-237286.656250	37645.367188	-199641.281250
870.000000	-237406.234375	37439.101562	-199967.125000
880.000000	-237179.437500	37286.960938	-199892.468750
890.000000	-236803.125000	37351.976562	-199451.156250
900.000000	-237185.234375	37286.878906	-199898.359375
910.000000	-237037.531250	37337.023438	-199700.500000
