Time (ps)	Potential	Kinetic	Total
0.000000	1.000000	1.000000	1.000000
10.000000	-0.076395	0.094248	-0.088957
20.000000	-0.000033	0.006971	-0.004816
30.000000	-0.065934	-0.054175	-0.035019
40.000000	0.022554	-0.087218	0.015908
50.000000	-0.003641	0.010551	-0.020259
60.000000	-0.117454	0.021272	-0.042763
70.000000	0.040184	-0.025517	0.024601
80.000000	-0.050632	-0.019453	-0.034819
90.000000	-0.024300	0.006989	0.012409
100.000000	-0.072253	-0.063869	-0.063106
110.000000	-0.009456	-0.016230	-0.004642
120.000000	-0.017969	-0.028457	-0.060554
130.000000	0.028115	-0.029492	0.057213
140.000000	0.032104	-0.037594	0.024298
150.000000	0.030915	-0.024392	0.038429
160.000000	-0.040552	-0.003770	-0.047159
170.000000	0.048983	0.015388	0.024893
180.000000	-0.046632	-0.063699	-0.043884
190.000000	-0.046925	-0.061225	-0.044855
200.000000	-0.006327	-0.056804	-0.024862
210.000000	-0.007582	0.009988	-0.011590
220.000000	-0.009400	0.045778	0.029444
230.000000	-0.068208	-0.048555	-0.037219
240.000000	0.071952	0.057880	0.045280
250.000000	-0.000379	-0.009382	-0.010444
260.000000	0.040135	0.070183	0.082504
270.000000	0.008427	-0.018523	-0.022116
280.000000	0.017414	0.002302	0.004559
290.000000	0.058360	0.005689	0.037187
300.000000	-0.074291	0.045762	-0.012952
310.000000	-0.043084	-0.005199	-0.058656
320.000000	0.060321	0.007909	0.035245
330.000000	-0.033771	0.026852	-0.027709
340.000000	0.027479	-0.064303	-0.046473
350.000000	0.021649	-0.081303	0.016319
360.000000	-0.010879	-0.089622	-0.014525
370.000000	-0.011640	-0.011678	0.030304
380.000000	-0.023705	0.027449	-0.023412
390.000000	0.060423	-0.018124	0.013774
400.000000	0.050032	-0.002906	0.035068
410.000000	-0.085008	-0.010167	-0.028889
420.000000	-0.008682	0.000020	-0.017578
430.000000	-0.030571	0.034589	0.007658
440.000000	-0.005402	-0.026183	-0.004891
450.000000	0.022451	0.018450	0.007497
460.000000	-0.018353	0.113738	-0.028339
470.000000	0.005122	0.022248	0.017132
480.000000	-0.032640	-0.001705	0.021914
490.000000	0.119926	-0.057513	0.083189
500.000000	-0.015180	-0.031454	-0.025879
510.000000	0.041456	0.088969	0.038739
520.000000	-0.013658	-0.014219	0.009051
530.000000	-0.001304	-0.041617	-0.018692
540.000000	-0.043948	0.049778	-0.015900
550.000000	-0.025767	0.033105	-0.045211
560.000000	-0.055542	0.075923	-0.009717
570.000000	-0.035849	0.067200	0.008773
580.000000	-0.004649	-0.056249	-0.002028
590.000000	-0.009798	0.022836	0.034426
600.000000	0.037162	-0.053205	0.024546
610.000000	0.043761	-0.000910	0.035817
620.000000	0.055605	-0.025051	-0.003533
630.000000	0.082382	-0.081876	-0.028282
640.000000	0.001340	-0.062232	-0.029900
650.000000	0.080516	-0.077694	0.032474
660.000000	0.026231	-0.078211	0.010940
670.000000	-0.026211	0.130102	0.024768
680.000000	-0.043199	0.046300	-0.089281
690.000000	-0.065077	-0.023622	-0.031232
700.000000	-0.025245	0.013947	0.039770
710.000000	-0.134848	-0.060161	-0.135498
720.000000	0.038047	0.017192	0.072530
730.000000	-0.017768	0.026264	-0.004644
740.000000	-0.006897	0.029879	0.060930
750.000000	-0.002050	0.019827	-0.038714
760.000000	0.032087	0.025611	0.000885
770.000000	0.056620	-0.082720	0.006077
780.000000	-0.046580	-0.003429	-0.044761
790.000000	0.064770	-0.040080	0.051419
800.000000	-0.008839	0.014831	0.022450
810.000000	-0.024979	0.032876	0.002130
820.000000	0.035640	-0.009861	-0.051875
830.000000	0.108373	0.076392	0.118697
840.000000	-0.031628	0.045575	-0.028796
850.000000	-0.026511	-0.026849	0.000593
860.000000	-0.036061	-0.060719	-0.038564
870.000000	0.105719	-0.036950	0.100019
880.000000	0.012887	-0.017721	-0.007318
890.000000	-0.026682	0.092828	-0.004861
900.000000	0.011503	-0.014390	0.024422
910.000000	-0.010239	-0.000493	-0.037358
920.000000	-0.046342	0.031206	0.012897
930.000000	-0.054069	0.025017	-0.063560
940.000000	0.090846	-0.032585	0.075817
950.000000	-0.025307	-0.046350	-0.050114
960.000000	-0.029787	-0.032761	0.043654
970.000000	-0.075972	0.132934	-0.017001
980.000000	-0.011226	0.006916	-0.005614
990.000000	0.011470	-0.065815	-0.024108
1000.000000	0.046573	0.000476	0.009609
1010.000000	-0.045130	-0.058746	-0.044523
1020.000000	0.005304	0.087964	0.019946
1030.000000	0.000226	-0.025397	-0.005959
1040.000000	0.014798	-0.069409	0.062565
1050.000000	-0.038011	-0.084556	0.008683
1060.000000	-0.121693	-0.062791	-0.098598
1070.000000	0.073412	0.027497	0.075398
1080.000000	-0.004385	-0.001125	-0.014686
1090.000000	0.032832	0.019372	0.019369
1100.000000	-0.050484	0.042450	-0.055571
1110.000000	0.032090	-0.059584	-0.003319
1120.000000	0.095910	-0.127753	0.038105
1130.000000	-0.042758	0.030243	-0.007596
1140.000000	0.034961	0.082935	-0.027431
1150.000000	0.091777	0.056325	0.065701
1160.000000	-0.008149	-0.030578	-0.027121
1170.000000	-0.060881	-0.032528	-0.033007
1180.000000	0.004744	0.029568	0.061482
1190.000000	0.012834	0.027820	0.066247
1200.000000	-0.050498	-0.051691	0.002688
1210.000000	-0.021715	0.022017	-0.047910
1220.000000	0.057723	0.022873	0.006945
1230.000000	-0.029621	0.019754	-0.026690
1240.000000	-0.053189	0.016871	-0.051065
1250.000000	-0.017116	-0.066676	-0.035380
1260.000000	0.118420	0.079347	0.107871
1270.000000	0.051076	-0.017248	0.007854
1280.000000	-0.029367	-0.067170	-0.039137
1290.000000	0.043179	0.027642	0.031978
1300.000000	-0.068000	0.024003	-0.067077
1310.000000	-0.014469	0.054845	-0.012210
1320.000000	-0.007319	-0.058150	-0.004235
1330.000000	-0.009391	-0.083631	-0.012425
1340.000000	-0.007360	0.006772	0.038104
1350.000000	-0.084999	0.082565	-0.031075
1360.000000	-0.003455	-0.022892	-0.040773
1370.000000	-0.021049	-0.079113	-0.079456
1380.000000	0.018360	-0.073625	-0.008142
1390.000000	-0.029786	-0.016729	-0.026185
1400.000000	0.011548	0.089419	-0.017564
1410.000000	0.023141	0.006924	0.081848
1420.000000	0.071847	-0.010226	0.015884
1430.000000	0.088713	0.027737	0.052815
1440.000000	0.116660	-0.076262	0.062688
1450.000000	-0.017897	0.010271	-0.003275
1460.000000	-0.011032	-0.000458	-0.001037
1470.000000	-0.014341	0.070816	0.002949
1480.000000	-0.062791	0.098981	-0.031230
1490.000000	0.035839	0.040711	0.075088
1500.000000	-0.016313	-0.053827	-0.038285
1510.000000	-0.015361	-0.019944	0.020944
1520.000000	0.002005	-0.034115	-0.017987
1530.000000	-0.048137	0.043224	0.005539
1540.000000	-0.039984	-0.018308	-0.089131
1550.000000	-0.084511	-0.036375	0.020775
1560.000000	0.066634	0.046831	0.065199
1570.000000	-0.024690	0.065424	0.028171
1580.000000	0.002093	-0.114522	-0.048171
1590.000000	0.015612	0.046172	0.041656
1600.000000	0.021465	-0.074297	-0.030899
1610.000000	-0.001842	-0.005806	-0.038511
1620.000000	-0.051865	0.036786	0.024005
1630.000000	0.023004	0.041376	0.048351
1640.000000	0.026224	0.158846	0.056207
1650.000000	0.031205	0.042254	-0.033389
1660.000000	0.043922	0.033637	0.090451
1670.000000	-0.043319	-0.048710	0.014624
1680.000000	-0.074056	-0.035095	-0.041728
1690.000000	0.019032	0.017228	0.005442
1700.000000	0.055051	-0.004333	0.076707
1710.000000	0.036830	-0.013337	-0.004357
1720.000000	-0.069491	0.026514	-0.043487
1730.000000	0.007331	0.047306	-0.022520
1740.000000	-0.117798	0.048945	-0.094951
1750.000000	0.047483	0.074920	0.084291
1760.000000	0.043580	0.077548	0.015620
1770.000000	0.065812	0.096249	0.072786
1780.000000	-0.010606	-0.044780	-0.041840
1790.000000	-0.052314	-0.140138	-0.044768
1800.000000	-0.054335	-0.082121	-0.044947
1810.000000	-0.004078	0.032690	0.005598
1820.000000	-0.055024	-0.027521	-0.112203
1830.000000	0.016270	-0.115387	-0.055664
1840.000000	0.008495	-0.123596	0.018764
1850.000000	-0.034545	0.047765	-0.035562
1860.000000	-0.006707	0.053634	-0.051591
1870.000000	-0.016150	-0.018695	0.005772
1880.000000	0.084963	-0.096665	0.002765
1890.000000	0.053592	-0.090382	0.028195
1900.000000	0.004725	-0.010050	-0.046753
1910.000000	0.041353	0.008205	0.024919
1920.000000	0.128295	-0.001627	0.138715
1930.000000	-0.089431	0.080127	-0.050327
1940.000000	0.067021	-0.029340	0.073985
1950.000000	0.015378	-0.027502	-0.017346
1960.000000	-0.084194	-0.096696	-0.088469
1970.000000	0.003056	0.027780	-0.087702
1980.000000	-0.050211	0.030228	0.014094
1990.000000	0.098467	0.020258	0.094086
2000.000000	-0.150856	0.044279	-0.043957
2010.000000	0.030821	-0.045929	0.056317
2020.000000	-0.012703	0.157315	0.044982
2030.000000	0.043851	0.092619	0.036986
2040.000000	-0.042156	0.124449	-0.002954
2050.000000	0.017811	0.078798	0.037845
2060.000000	0.121498	-0.030529	0.096630
2070.000000	-0.064082	0.075772	-0.015069
2080.000000	0.040541	-0.002864	0.065767
2090.000000	0.069252	-0.048239	0.038928
2100.000000	0.035797	0.008430	0.056625
2110.000000	-0.004743	-0.104724	-0.032627
2120.000000	-0.096032	-0.080166	-0.110255
2130.000000	-0.073131	0.003137	-0.038450
2140.000000	-0.072619	-0.020327	-0.054361
2150.000000	0.102221	0.042893	0.097335
2160.000000	0.052544	-0.041309	0.011861
2170.000000	-0.076809	0.031932	-0.052837
2180.000000	-0.071989	0.016765	-0.101476
2190.000000	0.016924	0.018925	-0.003255
2200.000000	0.017847	-0.075789	-0.044863
2210.000000	0.049723	0.028743	0.054464
2220.000000	-0.076239	-0.018160	-0.091462
2230.000000	0.092609	0.079954	0.097564
2240.000000	-0.036256	0.108740	-0.005343
2250.000000	-0.005076	-0.085069	-0.066417
2260.000000	0.071096	-0.051353	0.037435
2270.000000	-0.077490	-0.016042	-0.040720
2280.000000	0.074017	0.034485	0.042231
2290.000000	-0.090406	-0.013211	-0.055465
2300.000000	0.067326	-0.016663	0.104145
2310.000000	-0.102754	0.023393	-0.058640
2320.000000	0.011943	0.010140	-0.006996
2330.000000	-0.025703	0.068276	-0.001766
2340.000000	0.048786	-0.095426	0.005841
2350.000000	-0.024036	-0.128949	-0.035403
2360.000000	-0.001490	-0.018567	0.031797
2370.000000	0.021921	0.022242	-0.021482
2380.000000	0.005891	-0.085496	-0.024741
2390.000000	-0.045944	-0.034607	-0.048842
2400.000000	-0.113843	-0.007748	-0.054808
2410.000000	0.100552	-0.129756	0.069868
2420.000000	-0.103997	0.035608	-0.091659
2430.000000	0.088558	0.009805	0.058538
2440.000000	-0.090524	0.015712	-0.073875
2450.000000	0.084154	0.060695	0.091674
2460.000000	0.019217	0.002161	0.030919
2470.000000	-0.067849	-0.037547	-0.025100
2480.000000	-0.033987	0.098852	-0.100608
2490.000000	0.040302	0.129507	0.069262
2500.000000	0.020364	0.069188	0.002727
2510.000000	0.043417	0.004390	0.067113
2520.000000	0.108390	-0.017004	0.019638
2530.000000	0.015498	0.018209	0.020747
2540.000000	0.041595	0.070464	0.020275
2550.000000	-0.073919	-0.064635	-0.034085
2560.000000	-0.085090	0.090519	0.046511
2570.000000	-0.166241	-0.014435	-0.156957
2580.000000	0.092979	-0.003566	0.085050
2590.000000	0.060764	0.036489	0.052076
2600.000000	0.074732	0.008981	0.068869
2610.000000	-0.086212	0.090523	-0.000163
2620.000000	-0.058625	-0.107868	-0.086289
2630.000000	0.019269	-0.045986	-0.055243
2640.000000	0.011045	0.022266	0.050961
2650.000000	0.007922	-0.039084	-0.015838
2660.000000	-0.037264	0.024283	-0.011734
2670.000000	0.085360	-0.096079	0.019388
2680.000000	-0.013697	-0.196738	-0.113113
2690.000000	-0.050222	-0.077340	-0.029225
2700.000000	-0.004568	-0.021088	-0.030486
2710.000000	0.097577	0.038703	0.107850
2720.000000	0.033766	-0.009695	-0.030377
2730.000000	0.034436	0.003601	0.003548
2740.000000	0.050561	0.050623	0.062765
2750.000000	0.080369	0.006869	0.154516
2760.000000	-0.178864	-0.030602	-0.173205
2770.000000	-0.018340	-0.075921	-0.024783
2780.000000	0.028990	-0.006900	0.018667
2790.000000	-0.041105	-0.048268	-0.101537
2800.000000	-0.007230	-0.051974	0.005385
2810.000000	-0.054430	-0.090351	-0.014907
2820.000000	0.028568	-0.025528	0.111858
2830.000000	0.043285	0.026560	-0.004235
2840.000000	0.003713	0.071358	0.022600
2850.000000	0.017759	-0.070167	-0.084679
2860.000000	-0.002574	-0.021419	-0.039617
2870.000000	0.033052	-0.009957	-0.020613
2880.000000	0.135172	0.055879	0.051672
2890.000000	-0.161950	0.001956	-0.084646
2900.000000	-0.043259	0.114842	-0.023958
2910.000000	-0.039336	-0.003437	-0.077976
2920.000000	-0.002342	-0.110670	-0.102415
2930.000000	-0.006788	-0.104688	0.056916
2940.000000	-0.035456	0.005174	-0.026257
2950.000000	-0.045361	0.091206	0.006171
2960.000000	-0.060311	0.101551	-0.012800
2970.000000	-0.041390	0.082426	0.001389
2980.000000	0.004719	-0.133630	0.020178
2990.000000	0.002276	0.021742	-0.086115
3000.000000	-0.010935	0.034025	0.011343
3010.000000	0.012914	0.031269	0.027182
3020.000000	0.031193	0.085072	0.085268
3030.000000	-0.041384	-0.097974	-0.041008
3040.000000	-0.024626	0.130004	0.025659
3050.000000	-0.176741	-0.062428	-0.229465
3060.000000	0.056782	0.003192	0.044519
3070.000000	0.083264	0.049834	0.096830
3080.000000	-0.045362	-0.049129	-0.025450
3090.000000	0.104399	-0.124338	-0.055790
3100.000000	-0.001959	0.046095	0.060332
3110.000000	0.081110	-0.049139	0.022196
3120.000000	-0.066524	0.063920	-0.057389
3130.000000	0.084210	-0.065369	0.061166
3140.000000	-0.057757	-0.124907	-0.112978
3150.000000	-0.021822	0.004225	0.062381
3160.000000	-0.072367	0.157966	-0.070178
3170.000000	-0.051876	0.029107	-0.101176
3180.000000	0.016525	-0.000742	-0.009512
3190.000000	-0.026886	-0.003243	0.022436
3200.000000	-0.010871	-0.079371	0.023435
3210.000000	-0.001509	0.141191	0.059887
3220.000000	-0.067389	-0.035439	-0.014216
3230.000000	0.095340	-0.034990	0.097429
3240.000000	-0.049902	-0.026477	-0.063417
3250.000000	0.091150	-0.008471	-0.052757
3260.000000	-0.030010	0.115858	0.022225
3270.000000	-0.024520	0.013913	-0.015138
3280.000000	0.036578	0.082933	0.112045
3290.000000	-0.145104	-0.139999	-0.133861
3300.000000	0.041118	0.056320	0.054557
3310.000000	-0.042073	-0.059527	-0.081327
3320.000000	0.053300	0.024813	0.049372
3330.000000	0.154097	0.077089	0.134261
3340.000000	-0.002628	-0.015552	0.017765
3350.000000	0.090937	-0.229897	-0.085338
3360.000000	0.087448	-0.073044	0.107059
3370.000000	0.055617	-0.104975	0.009387
3380.000000	-0.225266	0.037105	-0.162544
3390.000000	-0.044947	0.092451	-0.023144
3400.000000	-0.072236	0.052834	-0.037885
3410.000000	0.080504	0.150181	0.064815
3420.000000	-0.041781	0.010557	-0.077631
3430.000000	-0.138950	0.042593	-0.012686
3440.000000	-0.154030	-0.093638	-0.089362
3450.000000	0.045952	0.048538	0.061855
3460.000000	-0.011375	-0.072418	-0.098027
3470.000000	0.008381	0.057040	-0.005767
3480.000000	0.129643	0.006727	0.171973
3490.000000	0.002670	0.073798	-0.004363
3500.000000	0.049758	0.082030	0.104622
3510.000000	-0.037113	0.053789	-0.086472
3520.000000	-0.002477	-0.081048	-0.014011
3530.000000	0.133847	-0.125562	0.018498
3540.000000	-0.021563	-0.058297	0.030592
3550.000000	-0.035442	-0.057464	-0.014384
3560.000000	-0.154200	-0.018058	-0.093079
3570.000000	0.053513	-0.032847	0.129221
3580.000000	0.018741	0.042538	0.075232
3590.000000	0.016295	-0.020217	0.007822
3600.000000	0.080368	-0.144017	0.042799
3610.000000	0.025962	-0.115386	-0.014023
3620.000000	0.117987	0.050581	0.095136
3630.000000	-0.063109	0.202767	-0.037007
3640.000000	-0.053631	0.105243	-0.083185
3650.000000	0.093376	-0.093292	0.024682
3660.000000	-0.061572	0.068166	-0.038643
3670.000000	0.043155	0.054654	0.052267
3680.000000	-0.168846	-0.078029	-0.069083
3690.000000	-0.031991	0.133729	0.078449
3700.000000	0.047557	0.115477	0.018010
3710.000000	-0.046485	0.251613	0.024704
3720.000000	0.059940	0.032735	0.016689
3730.000000	-0.089739	-0.053550	-0.103636
3740.000000	0.244974	-0.066286	0.203279
3750.000000	-0.084084	0.009069	-0.078733
3760.000000	0.069835	-0.057447	0.114339
3770.000000	-0.079999	0.042156	-0.136381
3780.000000	0.089152	0.034401	0.104749
3790.000000	-0.048832	0.018109	-0.107726
3800.000000	-0.071377	0.023735	0.060104
3810.000000	0.090666	-0.148466	-0.023266
3820.000000	-0.061057	-0.080210	-0.056283
3830.000000	-0.173693	-0.146743	-0.132993
3840.000000	-0.094143	-0.141460	-0.120996
3850.000000	0.113643	-0.010456	0.194273
3860.000000	0.191943	-0.094768	-0.039995
3870.000000	0.029376	-0.035860	-0.001772
3880.000000	-0.020431	0.054051	-0.063607
3890.000000	-0.058330	-0.012694	-0.101071
3900.000000	-0.058143	-0.041040	-0.051443
3910.000000	-0.132786	-0.058351	-0.170358
3920.000000	-0.018423	-0.068229	0.005698
3930.000000	0.073725	0.093144	0.150220
3940.000000	0.113010	0.045480	0.005090
3950.000000	0.036882	0.035433	-0.039606
3960.000000	0.009429	-0.067663	-0.010775
3970.000000	0.013675	0.167800	0.141360
