Time (ps)	Potential	Kinetic	Total
0.000000	1.000000	1.000000	1.000000
10.000000	0.010293	-0.054987	-0.011063
20.000000	-0.071842	0.002278	-0.042166
30.000000	0.055270	-0.011425	0.060024
40.000000	-0.039277	0.015784	-0.048223
50.000000	-0.035847	-0.093654	-0.032514
60.000000	0.057259	-0.047048	0.052710
70.000000	-0.040430	-0.037260	-0.029529
80.000000	-0.043995	-0.057126	-0.032150
90.000000	0.028186	-0.063721	0.012377
100.000000	-0.051155	-0.048851	-0.075180
110.000000	0.015080	-0.026443	0.031311
120.000000	0.005876	0.040303	-0.015187
130.000000	-0.040643	0.051111	-0.027570
140.000000	0.015668	0.016654	-0.008875
150.000000	0.033538	0.040893	0.101022
160.000000	-0.013959	0.023990	-0.058028
170.000000	0.056099	0.027089	0.066245
180.000000	-0.016483	0.006591	0.008487
190.000000	0.028422	0.018995	0.002974
200.000000	0.011379	-0.027609	-0.037708
210.000000	0.078684	0.004960	0.012861
220.000000	0.089507	-0.056066	0.074693
230.000000	0.054531	0.031520	0.011454
240.000000	-0.012555	-0.026342	-0.022479
250.000000	-0.005860	0.056158	0.014456
260.000000	-0.053900	-0.064243	-0.010572
270.000000	-0.042481	-0.072512	-0.074042
280.000000	0.106926	0.036624	0.147929
290.000000	-0.034314	0.036301	0.002207
300.000000	-0.063386	0.022211	-0.032740
310.000000	0.047363	0.012889	0.017527
320.000000	-0.033320	0.038005	-0.001245
330.000000	-0.011251	-0.019176	-0.003257
340.000000	0.062595	-0.021106	0.049801
350.000000	-0.034188	-0.009877	-0.052303
360.000000	-0.071884	0.008259	-0.042235
370.000000	0.016457	0.058797	0.012319
380.000000	-0.039915	0.007455	-0.015090
390.000000	0.018728	0.015500	-0.061301
400.000000	0.034382	0.026443	0.043943
410.000000	-0.024806	0.045000	-0.041086
420.000000	-0.021245	-0.076397	-0.009270
430.000000	0.018754	-0.013926	-0.030581
440.000000	0.034839	0.016268	0.023539
450.000000	0.028738	0.001004	0.063339
460.000000	-0.023883	-0.095276	-0.036639
470.000000	0.025833	-0.039985	-0.001868
480.000000	-0.021120	-0.056558	-0.061978
490.000000	0.045195	-0.075086	-0.000830
500.000000	-0.058674	-0.007668	-0.057875
510.000000	-0.030339	-0.020536	-0.105938
520.000000	-0.033577	0.008061	-0.047269
530.000000	0.004326	0.065074	0.045375
540.000000	-0.076215	0.092397	-0.077726
550.000000	0.023259	0.008324	0.044799
560.000000	0.029630	-0.010561	0.052520
570.000000	-0.043157	-0.006964	-0.084729
580.000000	-0.006145	-0.013758	-0.028919
590.000000	0.019767	-0.048219	0.033674
600.000000	0.060392	0.044212	0.040375
610.000000	-0.040617	0.030691	0.036831
620.000000	-0.021469	0.000752	-0.003733
630.000000	-0.022525	-0.001092	-0.012173
640.000000	0.110180	0.011678	0.060766
650.000000	-0.028562	-0.069036	-0.030340
