Time (ps)	Pressure
0.000000	-267.680573
10.000000	-103.506554
20.000000	319.872345
30.000000	-54.407513
40.000000	310.533234
50.000000	12.567922
60.000000	321.889435
70.000000	-84.542076
80.000000	86.436241
90.000000	-111.250893
100.000000	209.857666
110.000000	-93.284912
120.000000	113.560997
130.000000	75.151688
140.000000	-34.422726
150.000000	43.523571
160.000000	-277.258972
170.000000	237.457275
180.000000	-284.822510
190.000000	15.822684
200.000000	3.150760
210.000000	244.986038
220.000000	-102.798836
230.000000	-328.734619
240.000000	14.035939
250.000000	-325.173340
260.000000	-168.851974
270.000000	-125.142296
280.000000	14.408824
290.000000	15.334045
300.000000	147.406906
310.000000	223.098877
320.000000	88.848976
330.000000	46.222828
340.000000	-278.662872
350.000000	-348.350922
360.000000	104.295006
370.000000	-48.784195
380.000000	86.944603
390.000000	55.095123
400.000000	229.150497
410.000000	-66.565239
420.000000	-123.095192
430.000000	-55.822643
440.000000	-112.771492
450.000000	-41.610825
460.000000	-83.488586
470.000000	76.776123
480.000000	380.180817
490.000000	176.048965
500.000000	105.715088
510.000000	49.025696
520.000000	142.161224
530.000000	165.418777
540.000000	120.423500
550.000000	-71.772491
560.000000	414.381226
570.000000	181.606888
580.000000	98.808014
590.000000	-506.377838
600.000000	147.382462
610.000000	281.922516
620.000000	-99.986908
630.000000	312.710907
640.000000	-192.227402
650.000000	217.032883
660.000000	167.812027
670.000000	75.619812
680.000000	22.479324
690.000000	234.459213
700.000000	81.605217
710.000000	-196.862595
720.000000	-54.751129
730.000000	39.709206
740.000000	-61.903255
750.000000	171.834518
760.000000	-350.297974
770.000000	-259.275238
780.000000	41.052197
790.000000	-130.477158
800.000000	-29.142450
810.000000	-258.900909
820.000000	-26.937471
830.000000	127.875977
840.000000	83.237465
850.000000	160.260788
860.000000	159.931168
870.000000	-43.053055
880.000000	-195.482666
890.000000	-504.594727
900.000000	-446.088470
910.000000	-369.887665
920.000000	150.818130
930.000000	140.012619
940.000000	-241.238281
950.000000	374.123535
960.000000	185.028000
970.000000	148.677689
980.000000	-257.216034
990.000000	315.957489
1000.000000	13.048168
1010.000000	-141.075272
1020.000000	137.911606
1030.000000	-41.913841
1040.000000	273.120209
1050.000000	-137.213577
1060.000000	266.984375
1070.000000	-563.813293
1080.000000	378.551666
1090.000000	-153.215698
1100.000000	7.103109
1110.000000	-14.188396
1120.000000	-247.103516
1130.000000	385.700653
1140.000000	-205.444290
1150.000000	174.782944
1160.000000	-10.905774
1170.000000	48.123280
1180.000000	-48.784779
1190.000000	66.409195
1200.000000	73.342522
1210.000000	291.908630
1220.000000	-126.027374
1230.000000	397.953522
1240.000000	-70.983757
1250.000000	131.732437
1260.000000	248.697693
1270.000000	415.948639
1280.000000	-55.819988
1290.000000	-61.062267
1300.000000	-251.884338
1310.000000	-201.876831
1320.000000	-193.637146
1330.000000	-27.374344
