frame,nbonds
0,8396
1,8326
2,8386
3,8413
4,8308
5,8407
6,8335
7,8405
8,8302
9,8373
10,8372
11,8351
12,8332
13,8407
14,8485
15,8364
16,8357
17,8405
18,8396
19,8356
20,8370
21,8379
22,8281
23,8402
24,8393
25,8407
26,8381
27,8434
28,8275
29,8323
30,8416
31,8413
32,8356
33,8304
34,8359
35,8358
36,8402
37,8394
38,8458
39,8402
40,8387
41,8336
42,8338
43,8395
44,8373
45,8327
46,8339
47,8357
48,8339
49,8414
50,8323
51,8329
52,8436
53,8422
54,8446
55,8314
56,8313
57,8299
58,8271
59,8351
60,8432
61,8292
62,8351
63,8392
64,8416
65,8353
66,8370
67,8491
68,8444
69,8254
70,8364
71,8412
72,8326
73,8397
74,8369
75,8359
76,8336
77,8372
78,8344
79,8441
80,8397
81,8338
82,8306
83,8307
84,8373
85,8312
86,8372
87,8378
88,8428
89,8382
90,8321
91,8386
92,8343
93,8314
94,8330
95,8262
96,8364
97,8322
98,8372
99,8369
100,8410
