frame,mean_q,median_q,min_q,max_q,std_q,high_q_fraction,largest_cluster,n_clusters
0,0.584452,0.634573,-1.116078,0.997283,0.274819,0.262727,59,494
1,0.577680,0.629274,-1.241272,0.994618,0.276137,0.254727,129,491
2,0.580223,0.632656,-1.120205,0.992849,0.273238,0.252182,43,492
3,0.584058,0.639411,-1.259445,0.992503,0.270743,0.265273,84,521
4,0.583872,0.643630,-1.437023,0.993710,0.278340,0.263636,62,496
5,0.583844,0.636086,-1.299005,0.991080,0.271883,0.266182,122,458
6,0.579415,0.630513,-1.769746,0.999024,0.273736,0.251636,72,504
7,0.578053,0.627181,-1.433770,0.997909,0.273540,0.255636,76,474
8,0.579610,0.628403,-1.051995,0.996721,0.275020,0.257818,85,452
9,0.579848,0.630552,-1.205488,0.994586,0.274767,0.262909,66,464
10,0.583308,0.630571,-1.249689,0.989580,0.275170,0.259636,49,491
11,0.579747,0.626667,-1.250922,0.988108,0.269391,0.247818,46,504
12,0.588900,0.638788,-1.629717,0.994244,0.269478,0.264182,81,479
13,0.591715,0.645229,-1.195807,0.990739,0.264590,0.263818,57,480
14,0.590266,0.646315,-1.238354,0.994306,0.275009,0.267273,87,493
15,0.585014,0.641474,-1.232322,0.993270,0.272302,0.264727,176,434
16,0.586274,0.642737,-1.247583,0.993567,0.270355,0.254909,81,505
17,0.586647,0.634430,-1.025604,0.995807,0.265646,0.260727,92,479
18,0.577890,0.631391,-1.150013,0.992641,0.274701,0.248182,82,503
19,0.582946,0.638922,-1.239253,0.995652,0.272770,0.255273,60,491
20,0.582251,0.633655,-1.638748,0.991258,0.274888,0.261818,154,501
21,0.586534,0.646514,-1.742538,0.995641,0.275418,0.268182,81,481
22,0.582531,0.639124,-1.251281,0.989681,0.276227,0.256364,49,529
23,0.587785,0.634579,-1.210135,0.994230,0.268432,0.263273,66,484
24,0.584114,0.631891,-1.001867,0.991961,0.267996,0.261818,59,509
25,0.587415,0.643619,-1.483206,0.990535,0.277199,0.263455,57,513
26,0.587121,0.643984,-1.001509,0.990508,0.274672,0.263091,85,473
27,0.586086,0.639093,-1.569255,0.992557,0.270695,0.258000,88,468
28,0.578660,0.627514,-1.051952,0.996447,0.272467,0.251273,109,458
29,0.582407,0.626961,-1.259804,0.989473,0.263046,0.245636,78,501
30,0.586231,0.637271,-1.478468,0.987449,0.271433,0.256545,81,480
31,0.585094,0.637277,-1.202778,0.999163,0.268966,0.254545,62,494
32,0.586754,0.636551,-1.287297,0.988542,0.267960,0.259818,56,472
33,0.584919,0.634642,-1.166452,0.993870,0.271875,0.262909,148,482
34,0.583096,0.631790,-1.452667,0.990081,0.269924,0.260182,105,469
35,0.582445,0.640002,-1.104030,0.993369,0.274640,0.259455,51,495
36,0.580321,0.634504,-1.381332,0.992540,0.278369,0.258000,96,477
37,0.585818,0.640279,-1.362342,0.992700,0.275619,0.266364,60,467
38,0.588268,0.641275,-1.048280,0.993414,0.271938,0.274364,88,453
39,0.588882,0.641579,-1.214090,0.988314,0.271860,0.268000,110,490
40,0.578832,0.635605,-1.458166,0.987048,0.279625,0.254182,49,469
41,0.584630,0.640023,-1.795851,0.990664,0.273074,0.254000,58,470
42,0.584681,0.637681,-2.032501,0.998980,0.271672,0.260909,56,509
43,0.589269,0.641926,-1.579892,0.991384,0.267702,0.270909,126,478
44,0.584367,0.631610,-1.610464,0.992745,0.266247,0.249273,46,516
45,0.586112,0.633001,-1.986450,0.993535,0.266306,0.246545,57,503
46,0.585940,0.633074,-1.280341,0.990045,0.269836,0.256182,55,524
47,0.588113,0.645782,-1.327563,0.992370,0.273958,0.263455,97,485
48,0.582574,0.638238,-1.608929,0.990608,0.277332,0.256000,83,492
49,0.585170,0.634846,-1.367149,0.992005,0.272218,0.263818,165,464
50,0.581859,0.639062,-1.131913,0.992017,0.269627,0.250182,93,480
51,0.583205,0.630118,-1.528372,0.995090,0.269002,0.249455,43,477
52,0.581939,0.634955,-1.242362,0.994386,0.269775,0.253091,47,473
53,0.593450,0.647078,-2.211756,0.991664,0.272331,0.273273,84,459
54,0.588267,0.643370,-1.158127,0.988558,0.268940,0.261818,58,505
55,0.582811,0.635777,-1.287781,0.991929,0.270402,0.257091,61,527
56,0.578869,0.623353,-1.372073,0.984166,0.273759,0.254000,66,479
57,0.581516,0.630406,-1.449438,0.993939,0.273411,0.258909,79,504
58,0.582107,0.628859,-1.561362,0.991922,0.266273,0.245455,118,480
59,0.586148,0.641271,-1.712348,0.988736,0.279443,0.267273,176,492
60,0.591119,0.644442,-1.399426,0.991987,0.268977,0.269636,94,486
61,0.581954,0.631427,-1.160625,0.994124,0.270366,0.247636,64,481
62,0.587916,0.644037,-1.511008,0.995917,0.274998,0.263091,76,528
63,0.579938,0.634653,-1.407078,0.995101,0.276660,0.250909,75,457
64,0.584507,0.641331,-1.221103,0.992104,0.267704,0.257273,50,495
65,0.581994,0.635425,-1.143472,0.997266,0.273107,0.260727,85,477
66,0.582805,0.630335,-1.253697,0.992691,0.268755,0.252182,68,457
67,0.590528,0.644452,-1.352216,0.993056,0.270280,0.270545,63,492
68,0.586253,0.638785,-1.478693,0.990675,0.270774,0.264000,135,449
69,0.584823,0.635157,-1.151553,0.989348,0.271472,0.262182,96,464
70,0.579050,0.629386,-1.136563,0.990419,0.274046,0.247455,70,464
71,0.583867,0.635954,-1.238816,0.992542,0.274278,0.257455,54,498
72,0.582509,0.633752,-1.141797,0.994755,0.275194,0.265455,50,509
73,0.586088,0.641993,-1.461576,0.996156,0.275380,0.265273,114,475
74,0.583929,0.639607,-1.266996,0.992684,0.277741,0.263636,69,469
75,0.579766,0.629794,-1.231702,0.992009,0.273842,0.255091,99,466
76,0.589611,0.644919,-1.259839,0.997859,0.266971,0.262909,112,487
77,0.585214,0.635599,-1.254145,0.990314,0.276554,0.268000,89,469
78,0.582566,0.636046,-1.644890,0.992220,0.277235,0.263273,53,459
79,0.591592,0.645097,-1.189029,0.997337,0.269722,0.275273,119,510
80,0.588812,0.645946,-1.231585,0.995308,0.269867,0.269091,96,439
81,0.582793,0.630401,-1.769111,0.989419,0.271111,0.260545,85,472
82,0.580090,0.635521,-1.165192,0.991838,0.280656,0.256364,70,467
83,0.581408,0.631213,-1.236250,0.994117,0.273281,0.254364,58,482
84,0.583967,0.639816,-1.197231,0.989160,0.271539,0.260182,72,482
85,0.578743,0.638807,-1.861227,0.993688,0.281683,0.260727,97,488
86,0.584993,0.635079,-1.520054,0.988283,0.271713,0.260545,59,459
87,0.582274,0.631888,-1.617446,0.998121,0.272596,0.262545,93,462
88,0.589233,0.641719,-1.121647,0.993134,0.270130,0.270000,141,460
89,0.587155,0.641364,-1.183404,0.992161,0.277112,0.267273,79,473
90,0.579747,0.630504,-1.945231,0.994753,0.275915,0.253273,54,487
91,0.584325,0.639383,-1.391492,0.995891,0.276565,0.267091,97,485
92,0.591145,0.648263,-1.054978,0.998598,0.269655,0.269636,94,465
93,0.583495,0.636852,-1.225185,0.995691,0.274045,0.260727,82,482
94,0.582768,0.635507,-1.133709,0.995990,0.272582,0.254000,93,456
95,0.580551,0.631480,-1.284549,0.997734,0.271112,0.246545,73,469
96,0.579770,0.635426,-1.361921,0.996722,0.275707,0.258182,55,505
97,0.581436,0.631462,-1.333877,0.988422,0.274351,0.257455,69,494
98,0.590502,0.640071,-1.316076,0.989062,0.261006,0.257818,77,500
99,0.590836,0.643816,-1.095405,0.990149,0.267746,0.267636,67,487
100,0.587500,0.639013,-1.193541,0.992534,0.272615,0.262727,82,485
