Time (ps)	Potential	Kinetic	Total
0.000000	-236990.265625	37723.093750	-199267.171875
10.000000	-236872.984375	37574.414062	-199298.562500
20.000000	-236952.625000	37299.734375	-199652.890625
30.000000	-237154.281250	37464.113281	-199690.171875
40.000000	-237956.046875	37698.964844	-200257.078125
50.000000	-237638.578125	37859.042969	-199779.531250
60.000000	-236909.359375	38023.625000	-198885.734375
70.000000	-237267.656250	37555.300781	-199712.359375
80.000000	-236508.031250	37903.054688	-198604.968750
90.000000	-237113.921875	36586.718750	-200527.203125
100.000000	-236733.578125	36963.789062	-199769.781250
110.000000	-237686.046875	37385.953125	-200300.093750
120.000000	-237111.375000	37511.015625	-199600.359375
130.000000	-236720.687500	37140.265625	-199580.421875
140.000000	-236520.609375	37346.527344	-199174.078125
150.000000	-237145.671875	37632.234375	-199513.437500
160.000000	-237505.343750	37325.113281	-200180.234375
170.000000	-237448.593750	37149.960938	-200298.625000
180.000000	-236811.593750	36815.976562	-199995.625000
190.000000	-237367.078125	37227.007812	-200140.062500
200.000000	-237130.609375	37548.929688	-199581.687500
210.000000	-236971.343750	37289.351562	-199682.000000
220.000000	-236888.500000	38038.960938	-198849.531250
230.000000	-236769.937500	37318.113281	-199451.828125
240.000000	-237696.796875	37569.820312	-200126.968750
250.000000	-238041.125000	37312.292969	-200728.828125
260.000000	-236429.703125	37529.359375	-198900.343750
270.000000	-236727.718750	37639.207031	-199088.515625
280.000000	-236768.656250	38019.656250	-198749.000000
290.000000	-236686.421875	37519.710938	-199166.718750
300.000000	-237436.234375	37618.375000	-199817.859375
310.000000	-236762.218750	37536.570312	-199225.656250
320.000000	-237878.312500	37761.328125	-200116.984375
330.000000	-236919.843750	37337.429688	-199582.406250
340.000000	-236858.765625	37829.832031	-199028.937500
350.000000	-237055.890625	37019.269531	-200036.625000
360.000000	-236991.984375	37537.648438	-199454.343750
370.000000	-237783.984375	37639.355469	-200144.625000
380.000000	-236326.562500	37466.679688	-198859.875000
390.000000	-237439.671875	37864.023438	-199575.656250
400.000000	-237063.750000	37132.992188	-199930.750000
410.000000	-237256.968750	37747.734375	-199509.234375
420.000000	-236306.859375	37255.546875	-199051.312500
430.000000	-236944.859375	37671.328125	-199273.531250
440.000000	-237751.593750	37671.843750	-200079.750000
450.000000	-236978.218750	37347.441406	-199630.781250
460.000000	-237975.328125	37425.085938	-200550.250000
470.000000	-236407.671875	37140.847656	-199266.828125
480.000000	-236758.421875	37440.320312	-199318.093750
490.000000	-237410.562500	36872.273438	-200538.281250
500.000000	-237545.250000	37965.882812	-199579.375000
510.000000	-236979.921875	37307.324219	-199672.593750
520.000000	-236854.312500	37632.859375	-199221.453125
530.000000	-236947.875000	37422.171875	-199525.703125
540.000000	-237164.375000	37281.921875	-199882.453125
550.000000	-236491.250000	37142.039062	-199349.218750
560.000000	-237342.875000	37547.660156	-199795.218750
570.000000	-236986.859375	37068.566406	-199918.296875
580.000000	-237719.156250	37238.171875	-200480.984375
590.000000	-236659.140625	37236.906250	-199422.234375
600.000000	-237412.640625	37493.910156	-199918.734375
610.000000	-237173.109375	38042.796875	-199130.312500
620.000000	-236925.000000	37725.976562	-199199.031250
