Time (ps)	Potential	Kinetic	Total
0.000000	1.000000	1.000000	1.000000
10.000000	0.115354	-0.013601	0.054409
20.000000	0.057479	-0.017430	0.017758
30.000000	0.022161	0.008954	0.046859
40.000000	0.037179	-0.005803	0.026047
50.000000	0.010894	-0.017125	0.035290
60.000000	-0.015851	0.048001	0.018686
70.000000	-0.068131	-0.105776	-0.085662
80.000000	0.009895	0.016320	0.037648
90.000000	-0.004396	-0.024445	-0.070058
100.000000	0.025615	0.014284	0.025172
110.000000	-0.029662	-0.029869	-0.011207
120.000000	-0.020652	-0.049388	-0.015117
130.000000	-0.018329	-0.106787	-0.006952
140.000000	-0.124213	0.055372	-0.067615
150.000000	-0.035544	-0.001143	-0.010632
160.000000	-0.013575	0.032603	-0.003307
170.000000	0.010210	0.029356	0.035875
180.000000	0.028398	-0.022130	-0.026386
190.000000	-0.031209	0.033424	-0.009257
200.000000	0.003685	0.039491	-0.026246
210.000000	-0.045030	-0.062352	-0.020416
220.000000	-0.043555	-0.004807	-0.004711
230.000000	-0.070888	0.027977	-0.046941
240.000000	-0.019699	-0.073065	-0.046113
250.000000	-0.060607	0.043552	-0.018729
260.000000	-0.054272	0.052854	-0.048529
270.000000	-0.019215	-0.015325	-0.010619
280.000000	0.101601	-0.030020	0.065896
290.000000	-0.012920	-0.082198	-0.017289
300.000000	0.033414	0.019830	0.048599
310.000000	0.016123	0.088441	0.008820
320.000000	-0.014768	-0.046231	-0.013233
330.000000	-0.007551	-0.135958	-0.038492
340.000000	-0.026967	0.026524	0.025099
350.000000	-0.016483	0.020477	-0.037209
360.000000	-0.090468	0.066520	-0.037726
370.000000	0.029253	0.009332	-0.009501
380.000000	0.030267	0.011886	0.021281
390.000000	-0.046790	-0.056368	-0.046149
400.000000	0.030504	0.122019	0.056475
410.000000	0.026948	0.021393	0.006136
420.000000	-0.028945	0.060000	0.028298
430.000000	-0.101199	-0.055130	-0.142615
440.000000	-0.023221	0.044434	0.004864
450.000000	-0.024305	-0.002419	-0.009662
460.000000	-0.039406	-0.039388	-0.048059
470.000000	0.061860	-0.007495	-0.007913
480.000000	0.005613	0.067786	0.038732
490.000000	0.012263	-0.035045	-0.015015
500.000000	0.004561	0.042729	0.061534
510.000000	-0.037574	-0.052924	-0.020603
520.000000	0.025220	0.020775	0.042826
530.000000	-0.010550	0.110040	-0.005011
540.000000	0.023461	0.011305	0.050485
550.000000	-0.012557	-0.055291	-0.016787
560.000000	0.076732	0.021090	0.023226
570.000000	0.073234	0.071098	0.000316
580.000000	0.077170	-0.028305	0.055322
590.000000	-0.000600	0.020676	0.059030
600.000000	-0.058027	-0.027285	-0.005344
610.000000	-0.066741	0.062644	-0.023423
620.000000	0.047316	-0.024462	0.091160
630.000000	0.000322	-0.029083	-0.017369
640.000000	-0.072971	-0.020393	0.004393
650.000000	0.092881	0.034444	0.119420
660.000000	-0.023735	0.002675	-0.028214
670.000000	0.014386	0.105747	0.046955
680.000000	0.029610	-0.048835	0.019414
690.000000	0.014578	-0.047179	0.032280
700.000000	-0.133211	-0.034011	-0.095308
710.000000	-0.010628	0.067758	0.014222
720.000000	-0.050817	-0.022786	-0.067048
730.000000	0.003203	0.061442	-0.020744
740.000000	-0.052769	-0.049335	-0.075746
750.000000	0.045262	0.044797	-0.002157
