Time (ps)	Potential	Kinetic	Total
0.000000	-307395.218750	37574.980469	-269820.250000
10.000000	-308176.625000	37539.812500	-270636.812500
20.000000	-306677.281250	37739.054688	-268938.218750
30.000000	-307073.843750	37342.351562	-269731.500000
40.000000	-308284.468750	37371.671875	-270912.812500
50.000000	-306716.906250	37416.363281	-269300.531250
60.000000	-306207.375000	37334.390625	-268873.000000
70.000000	-306792.000000	37639.210938	-269152.781250
80.000000	-307306.125000	37310.933594	-269995.187500
90.000000	-307748.687500	37122.890625	-270625.812500
100.000000	-307723.281250	37885.371094	-269837.906250
110.000000	-306710.781250	37639.343750	-269071.437500
120.000000	-307223.062500	37395.132812	-269827.937500
130.000000	-307738.875000	37802.726562	-269936.156250
140.000000	-307729.437500	37113.226562	-270616.218750
150.000000	-307650.375000	37236.195312	-270414.187500
160.000000	-307254.906250	37300.738281	-269954.156250
170.000000	-307352.625000	37564.125000	-269788.500000
180.000000	-306558.468750	37310.843750	-269247.625000
190.000000	-307122.343750	37623.539062	-269498.812500
200.000000	-307536.968750	37230.699219	-270306.281250
210.000000	-308470.250000	37410.593750	-271059.656250
220.000000	-307585.218750	37290.375000	-270294.843750
230.000000	-307308.812500	37226.191406	-270082.625000
240.000000	-307838.343750	37675.683594	-270162.656250
250.000000	-307362.000000	37230.519531	-270131.468750
260.000000	-307340.593750	37562.687500	-269777.906250
270.000000	-306721.531250	37564.320312	-269157.218750
280.000000	-306540.125000	37677.421875	-268862.687500
290.000000	-307630.843750	37098.554688	-270532.281250
300.000000	-307743.968750	37427.953125	-270316.000000
310.000000	-306934.906250	37333.906250	-269601.000000
320.000000	-306878.437500	37608.406250	-269270.031250
330.000000	-307029.281250	37710.242188	-269319.031250
340.000000	-306441.343750	37033.167969	-269408.187500
350.000000	-307100.000000	37741.023438	-269358.968750
360.000000	-306869.687500	38116.156250	-268753.531250
370.000000	-307623.406250	37537.046875	-270086.375000
380.000000	-307954.062500	37296.199219	-270657.875000
390.000000	-307697.843750	37312.179688	-270385.656250
400.000000	-306865.562500	37206.351562	-269659.218750
410.000000	-307765.625000	37642.398438	-270123.218750
420.000000	-308208.531250	37200.242188	-271008.281250
430.000000	-308049.375000	37272.671875	-270776.687500
440.000000	-307654.562500	37092.984375	-270561.562500
450.000000	-307536.625000	37359.429688	-270177.187500
460.000000	-307251.531250	37057.953125	-270193.562500
470.000000	-306456.531250	37969.304688	-268487.218750
480.000000	-308031.406250	37639.640625	-270391.750000
490.000000	-307350.843750	37452.781250	-269898.062500
500.000000	-307093.843750	37317.562500	-269776.281250
510.000000	-306797.500000	37585.210938	-269212.281250
520.000000	-306556.250000	37400.289062	-269155.968750
530.000000	-307437.250000	37800.054688	-269637.187500
540.000000	-307351.968750	37443.234375	-269908.750000
550.000000	-307573.625000	38197.851562	-269375.781250
560.000000	-307521.875000	37309.515625	-270212.375000
570.000000	-308092.468750	37615.289062	-270477.187500
580.000000	-307561.625000	37326.015625	-270235.625000
590.000000	-307165.968750	37665.484375	-269500.500000
600.000000	-306639.593750	37425.375000	-269214.218750
610.000000	-307186.531250	37178.167969	-270008.375000
620.000000	-307990.875000	37424.898438	-270565.968750
630.000000	-308142.250000	37235.296875	-270906.937500
640.000000	-306510.062500	37497.750000	-269012.312500
650.000000	-307382.500000	37399.679688	-269982.812500
660.000000	-307848.343750	37602.863281	-270245.468750
670.000000	-307473.593750	37472.734375	-270000.875000
680.000000	-307082.031250	36883.804688	-270198.218750
690.000000	-306840.125000	37739.644531	-269100.468750
700.000000	-307558.875000	37497.964844	-270060.906250
710.000000	-307578.218750	37089.625000	-270488.593750
720.000000	-306780.156250	37809.566406	-268970.593750
730.000000	-308056.031250	37447.425781	-270608.593750
740.000000	-306965.468750	37457.878906	-269507.593750
750.000000	-306821.187500	36863.375000	-269957.812500
760.000000	-306988.375000	37128.707031	-269859.656250
770.000000	-307569.500000	37523.414062	-270046.093750
780.000000	-307477.937500	37406.250000	-270071.687500
790.000000	-308226.062500	37246.265625	-270979.812500
800.000000	-306936.156250	37953.613281	-268982.531250
810.000000	-307877.968750	37611.382812	-270266.593750
820.000000	-307324.781250	37465.851562	-269858.937500
830.000000	-307642.593750	37785.250000	-269857.343750
840.000000	-306971.687500	36640.273438	-270331.406250
850.000000	-306817.437500	37387.222656	-269430.218750
860.000000	-307526.031250	37485.109375	-270040.937500
870.000000	-307307.187500	36741.996094	-270565.187500
880.000000	-306810.250000	37272.609375	-269537.625000
890.000000	-307114.593750	37618.218750	-269496.375000
900.000000	-307752.343750	37120.234375	-270632.125000
910.000000	-306115.531250	37407.820312	-268707.718750
920.000000	-307597.406250	37080.738281	-270516.656250
930.000000	-306945.468750	37280.953125	-269664.500000
940.000000	-308352.718750	37152.050781	-271200.656250
950.000000	-307703.625000	37959.277344	-269744.343750
960.000000	-307119.875000	37748.500000	-269371.375000
970.000000	-307369.406250	37941.968750	-269427.437500
980.000000	-307501.937500	37502.554688	-269999.375000
990.000000	-307050.718750	37601.195312	-269449.531250
1000.000000	-307047.218750	37562.664062	-269484.562500
1010.000000	-307565.468750	37714.156250	-269851.312500
1020.000000	-307153.406250	37473.027344	-269680.375000
1030.000000	-307479.906250	37430.636719	-270049.281250
1040.000000	-306984.812500	37657.617188	-269327.187500
1050.000000	-307755.437500	37539.468750	-270215.968750
1060.000000	-307595.968750	37101.570312	-270494.406250
1070.000000	-307360.593750	37487.257812	-269873.343750
1080.000000	-307446.687500	37948.421875	-269498.250000
1090.000000	-307331.156250	37377.347656	-269953.812500
1100.000000	-306923.312500	37520.718750	-269402.593750
1110.000000	-307103.375000	37540.171875	-269563.187500
1120.000000	-307263.500000	37434.855469	-269828.656250
1130.000000	-307757.468750	37430.472656	-270327.000000
1140.000000	-306509.125000	37690.828125	-268818.312500
1150.000000	-307259.343750	37161.890625	-270097.437500
1160.000000	-307375.312500	37339.421875	-270035.875000
1170.000000	-308173.562500	37208.574219	-270965.000000
1180.000000	-307626.906250	37423.085938	-270203.812500
1190.000000	-306944.250000	37383.304688	-269560.937500
