Time (ps)	Temperature	Pressure
0.000000	276.221283	-38.417611
10.000000	269.970032	-72.315406
20.000000	272.850098	-255.530532
30.000000	270.163483	-149.508142
40.000000	271.897186	-75.145100
50.000000	270.942078	-298.872740
60.000000	270.123779	-156.109681
70.000000	274.628387	-180.790135
80.000000	273.434174	78.074463
90.000000	271.737946	34.593533
100.000000	275.971893	304.590225
110.000000	274.492798	-112.690196
120.000000	273.030182	-360.558198
130.000000	271.472839	-225.826539
140.000000	273.936371	-8.239523
150.000000	275.802917	43.696718
160.000000	273.191711	226.180160
170.000000	273.234497	339.532715
180.000000	271.889618	-140.384436
190.000000	272.724457	27.438203
200.000000	272.308044	166.230370
210.000000	275.198883	104.518242
220.000000	275.094940	169.774354
230.000000	271.394745	-89.993242
240.000000	272.681763	84.065190
250.000000	272.261444	88.378883
260.000000	270.935364	-315.513061
270.000000	272.343689	-120.475836
280.000000	271.438171	111.000729
290.000000	274.543488	196.009826
300.000000	274.997070	148.366335
310.000000	271.458038	36.737161
320.000000	270.501465	66.380639
330.000000	273.310303	96.592385
340.000000	274.068115	141.719182
350.000000	273.521942	144.957087
360.000000	274.600098	21.389509
370.000000	271.373840	30.895404
380.000000	273.742615	352.624353
390.000000	271.663269	-225.678882
400.000000	275.889191	-161.096401
410.000000	272.395660	64.306370
420.000000	271.807556	-176.566813
430.000000	272.448212	35.452776
440.000000	272.683075	78.350017
450.000000	267.738586	-372.386125
460.000000	271.838409	-29.186507
470.000000	272.997070	202.601681
480.000000	272.447235	-12.587806
490.000000	273.933533	-103.728686
500.000000	272.429565	-7.859834
510.000000	274.520447	21.646198
520.000000	277.888855	-126.221663
530.000000	276.704865	-268.876431
540.000000	276.471130	96.091499
550.000000	274.254913	33.084969
560.000000	271.536041	125.011615
570.000000	273.694550	-24.681983
580.000000	271.205048	321.004988
590.000000	273.957886	-278.228376
600.000000	270.003754	276.865604
610.000000	275.221710	-377.763933
620.000000	273.280090	143.203000
630.000000	270.263153	207.862585
640.000000	271.207520	40.704267
650.000000	272.659973	188.895399
660.000000	274.274506	202.674915
670.000000	274.838470	-328.359142
680.000000	275.470703	-28.649430
690.000000	268.867767	224.942183
700.000000	271.991272	238.435860
710.000000	273.738556	292.575955
720.000000	274.454742	262.519350
730.000000	274.234314	263.926606
740.000000	274.054749	59.985040
750.000000	274.508636	-315.035984
760.000000	273.725372	45.352833
770.000000	269.279724	220.656095
780.000000	275.302551	244.081331
790.000000	272.772461	-170.896268
800.000000	269.432190	208.558202
810.000000	271.855835	76.999481
820.000000	272.762421	164.633352
830.000000	276.769775	430.326769
840.000000	274.040070	-46.485363
850.000000	274.794037	172.014462
860.000000	274.430817	-51.816364
870.000000	272.927185	-41.743499
880.000000	271.818085	-191.209946
890.000000	272.292023	182.416248
900.000000	271.817474	-141.831027
910.000000	272.183044	-59.531854
920.000000	272.808960	-245.857840
930.000000	272.429474	206.538455
940.000000	274.004150	48.312705
950.000000	275.158508	349.323486
960.000000	278.033691	-320.512943
970.000000	271.418915	-166.191909
980.000000	268.845001	-69.464916
990.000000	272.428619	127.159418
1000.000000	271.457672	-389.418136
1010.000000	271.313354	30.366701
1020.000000	271.522919	54.047075
1030.000000	274.980469	-382.622198
1040.000000	275.110657	155.015506
1050.000000	274.143158	-19.931168
1060.000000	273.291992	-453.737819
1070.000000	274.246490	95.319714
1080.000000	271.253601	-17.677411
1090.000000	276.195099	262.418573
1100.000000	272.367371	78.530103
1110.000000	274.387848	-299.494175
1120.000000	275.391846	-96.538518
1130.000000	271.686279	324.716129
1140.000000	269.728271	217.782128
1150.000000	275.599670	208.823802
1160.000000	272.207672	3.057660
1170.000000	271.634583	448.338174
