Time (ps)	Potential	Kinetic	Total
0.000000	1.000000	1.000000	1.000000
10.000000	-0.042891	-0.073487	-0.021548
20.000000	-0.026819	-0.050293	0.009333
30.000000	0.047625	-0.042395	0.035933
40.000000	0.013435	0.036666	0.023679
50.000000	0.074623	-0.111513	-0.006399
60.000000	-0.021895	-0.000526	-0.020149
70.000000	0.014896	-0.017939	0.027412
80.000000	-0.032233	0.022225	-0.063154
90.000000	-0.050273	0.061153	-0.018002
100.000000	0.015708	-0.035034	0.006163
110.000000	-0.016954	0.012733	0.035808
120.000000	-0.049134	0.007333	-0.069905
130.000000	-0.019276	-0.033907	-0.033433
140.000000	-0.076942	-0.094272	-0.074492
150.000000	0.079457	0.062675	0.034429
160.000000	-0.063087	0.013841	-0.052820
170.000000	0.024863	-0.041657	0.049018
180.000000	0.062813	0.030568	0.055620
190.000000	-0.059932	-0.007427	-0.008168
200.000000	0.008269	-0.007705	0.001780
210.000000	-0.016295	0.000217	-0.019773
220.000000	0.017342	-0.088803	0.028380
230.000000	-0.031445	0.014451	-0.051090
240.000000	-0.005751	0.052199	0.015244
250.000000	0.003101	-0.021505	-0.010991
260.000000	-0.105476	-0.048656	-0.101484
270.000000	0.016387	0.057446	0.040153
280.000000	0.043980	0.062807	0.048287
290.000000	-0.047023	0.042592	-0.018087
300.000000	-0.033541	-0.080662	-0.000748
310.000000	-0.073264	-0.006429	-0.093184
320.000000	0.075394	-0.077924	-0.013474
330.000000	-0.006905	0.059655	-0.032191
340.000000	0.006374	-0.042128	0.021602
350.000000	0.041756	-0.044277	0.001871
360.000000	0.004463	0.010279	0.025939
370.000000	-0.003999	0.096771	0.041143
380.000000	0.126654	-0.115300	0.040519
390.000000	-0.002803	0.064903	0.029713
400.000000	-0.001880	0.081406	0.066532
410.000000	-0.034081	-0.037001	-0.028772
420.000000	-0.008761	-0.050486	-0.048423
430.000000	0.103155	0.021005	0.076029
440.000000	0.013347	0.018474	-0.039633
450.000000	-0.006331	-0.003967	-0.012373
460.000000	-0.067850	0.007448	-0.059429
470.000000	-0.052989	-0.025772	-0.045143
480.000000	0.004881	0.072516	0.009527
490.000000	0.010778	0.049290	-0.004544
500.000000	0.009399	-0.134308	-0.023423
510.000000	-0.040116	-0.033199	-0.045213
520.000000	-0.042994	0.083139	-0.036565
530.000000	0.031540	-0.009229	0.007488
540.000000	-0.034527	0.044979	0.015523
550.000000	-0.067422	-0.042282	-0.019255
560.000000	0.025016	0.065176	0.028070
570.000000	0.003646	-0.006196	0.055395
580.000000	0.040518	0.056996	0.036225
590.000000	0.000456	-0.150642	-0.012418
600.000000	0.049189	0.069181	0.020392
610.000000	0.061204	0.008809	0.045515
620.000000	0.004405	-0.003766	0.028715
630.000000	-0.014580	-0.082198	-0.048973
640.000000	-0.021052	0.143752	-0.029517
650.000000	-0.009701	-0.027481	-0.041159
660.000000	0.082413	-0.050305	0.027689
670.000000	0.004286	-0.005980	0.019408
680.000000	-0.004044	0.044622	-0.068027
690.000000	-0.063000	-0.048666	-0.052456
700.000000	-0.039575	0.006716	-0.006879
710.000000	-0.006288	-0.061392	0.012515
720.000000	-0.006896	0.014985	-0.014808
730.000000	0.015769	-0.046091	0.035543
740.000000	-0.082631	0.030282	-0.029032
750.000000	0.004431	0.002295	0.042167
760.000000	0.044751	0.092053	0.035179
770.000000	-0.008298	0.043502	0.010264
780.000000	0.029634	-0.090057	0.014198
790.000000	-0.019116	-0.032081	-0.037770
800.000000	0.002927	0.045692	-0.016620
810.000000	0.024985	0.018753	-0.023214
820.000000	-0.061957	-0.034655	-0.016824
830.000000	0.056656	-0.075113	0.023042
840.000000	0.019124	0.051550	-0.030306
850.000000	-0.072628	-0.005907	-0.058959
860.000000	-0.017890	0.016317	0.033258
870.000000	-0.047275	-0.069910	-0.091076
880.000000	0.050000	0.084819	0.067218
890.000000	0.080886	0.085707	0.109147
900.000000	-0.058140	-0.075226	-0.027143
910.000000	0.041469	0.038307	0.048250
920.000000	-0.003211	-0.068721	-0.049325
930.000000	0.020804	0.059038	-0.015257
940.000000	-0.004077	-0.096926	-0.008190
950.000000	0.035720	0.008450	0.070779
960.000000	0.032351	-0.077940	-0.021905
970.000000	0.016643	0.090911	0.070888
980.000000	-0.013495	-0.078140	0.002264
990.000000	-0.008647	-0.016933	-0.007941
1000.000000	0.042117	-0.016647	0.033460
1010.000000	-0.017743	0.099932	0.013569
1020.000000	-0.079848	0.033160	-0.042744
1030.000000	-0.012764	-0.008669	-0.066527
1040.000000	0.000206	0.014331	-0.014928
1050.000000	-0.100276	0.015885	-0.054512
1060.000000	0.038138	-0.107035	0.066963
1070.000000	-0.055792	0.009543	0.014068
1080.000000	0.018623	0.005762	-0.007428
1090.000000	0.004970	0.021266	-0.062113
1100.000000	0.064594	-0.055224	0.048486
1110.000000	0.034566	-0.054618	-0.005815
1120.000000	-0.064598	0.006810	-0.047306
1130.000000	0.025228	0.029604	0.075101
1140.000000	-0.015438	0.036436	0.004908
1150.000000	0.047899	-0.050601	0.044525
1160.000000	0.112435	0.070038	0.089723
1170.000000	-0.071729	0.010777	0.016288
1180.000000	-0.038602	-0.031338	-0.063013
1190.000000	0.024941	-0.089018	-0.006296
1200.000000	-0.020798	0.028128	-0.025123
1210.000000	0.036327	-0.032197	-0.036516
1220.000000	0.016168	-0.009119	-0.019482
1230.000000	0.014117	-0.029744	0.060539
1240.000000	0.030770	0.001880	0.030524
1250.000000	0.025305	0.038821	0.016855
1260.000000	0.029366	0.052087	-0.011562
1270.000000	0.025865	-0.032189	0.036243
1280.000000	0.027845	0.120735	0.006425
1290.000000	-0.056740	0.017055	-0.066569
1300.000000	0.002154	0.017642	-0.014552
1310.000000	0.026347	-0.043066	0.074176
1320.000000	-0.018784	0.142301	0.078478
1330.000000	0.038668	-0.025411	0.002536
1340.000000	0.000283	-0.025030	0.031381
1350.000000	0.028808	-0.011854	0.044314
1360.000000	-0.013237	0.072894	-0.015132
1370.000000	-0.064674	0.039185	-0.030155
1380.000000	-0.035938	0.010088	0.001540
1390.000000	-0.072657	-0.107218	-0.094046
1400.000000	-0.032737	-0.104913	-0.121270
1410.000000	-0.013861	0.048701	-0.002012
1420.000000	0.038783	0.037437	0.055807
1430.000000	0.026776	-0.028105	0.050163
1440.000000	0.036158	0.022259	0.034716
1450.000000	-0.071760	0.152431	-0.003152
1460.000000	-0.020345	-0.005899	0.029217
1470.000000	0.000403	-0.032415	0.022588
1480.000000	0.064289	-0.053018	-0.009332
1490.000000	0.042446	-0.005790	0.057611
1500.000000	-0.081650	-0.063997	-0.010635
1510.000000	0.012062	0.001286	0.000452
1520.000000	0.027858	-0.063644	0.040545
1530.000000	0.006182	0.135335	0.022571
1540.000000	-0.001165	0.008665	0.013669
1550.000000	-0.000796	-0.011416	0.017027
1560.000000	0.020123	0.057174	0.039171
1570.000000	-0.038002	0.018469	-0.062950
1580.000000	0.008975	-0.122768	-0.011807
1590.000000	0.002501	0.006282	-0.007438
1600.000000	-0.000294	0.014733	0.001334
1610.000000	-0.028249	-0.007396	-0.037838
1620.000000	-0.019191	-0.008955	-0.044915
1630.000000	0.006732	0.033551	-0.011568
1640.000000	0.086724	-0.111959	0.014279
1650.000000	-0.086494	0.145785	0.010650
1660.000000	-0.098776	-0.019424	-0.057168
1670.000000	0.083620	-0.016898	-0.014440
1680.000000	-0.078271	-0.034894	-0.109137
1690.000000	0.008520	-0.026074	-0.034856
1700.000000	-0.051695	-0.072176	-0.023935
1710.000000	0.012178	-0.041866	0.009742
1720.000000	0.040706	0.139607	0.089586
1730.000000	0.013710	-0.060256	-0.011828
1740.000000	0.018110	0.059439	0.071188
1750.000000	-0.055184	-0.024043	-0.035186
1760.000000	0.044754	-0.004299	0.043215
1770.000000	0.015658	0.130655	0.066110
1780.000000	-0.047480	-0.061804	-0.050101
1790.000000	0.051967	-0.055492	-0.026892
1800.000000	0.018597	-0.036180	0.039917
1810.000000	-0.013641	0.098328	0.050553
1820.000000	0.093344	-0.098778	0.013544
1830.000000	-0.084973	0.004748	-0.016910
1840.000000	0.074490	0.001660	0.111347
1850.000000	-0.006810	-0.012021	-0.002964
1860.000000	0.074749	-0.017473	0.071230
1870.000000	0.054638	-0.035814	0.019882
1880.000000	-0.034367	0.014831	-0.094497
1890.000000	0.083974	-0.005540	0.106757
1900.000000	-0.020733	0.168365	0.003294
1910.000000	-0.005139	-0.057211	-0.021649
1920.000000	0.056896	0.003781	0.029534
1930.000000	-0.045365	-0.024676	-0.040786
1940.000000	-0.032448	0.006162	-0.027850
1950.000000	-0.069684	-0.077469	-0.078818
1960.000000	0.022683	0.061747	-0.004507
1970.000000	-0.008464	-0.099159	-0.062586
1980.000000	-0.107399	-0.030300	-0.125515
1990.000000	0.090836	0.079033	0.141494
2000.000000	-0.030266	-0.062125	-0.054627
2010.000000	0.035974	-0.001224	0.031885
2020.000000	-0.010102	0.063321	-0.016872
2030.000000	0.020948	0.005175	0.008479
2040.000000	0.039275	-0.055454	0.065345
2050.000000	-0.025207	0.116173	-0.055144
2060.000000	0.013457	-0.019490	0.002287
2070.000000	-0.002987	-0.055946	-0.012957
2080.000000	0.027819	-0.008217	0.045479
2090.000000	-0.051569	0.065791	-0.052082
2100.000000	0.051148	-0.101191	-0.004651
2110.000000	-0.001555	0.002590	-0.048062
2120.000000	-0.031640	-0.080379	-0.067652
2130.000000	-0.041803	0.091635	0.051646
2140.000000	0.011401	0.068504	0.032611
2150.000000	-0.154689	-0.147911	-0.136106
2160.000000	-0.027422	-0.028680	-0.025366
2170.000000	0.008985	0.128629	-0.040472
2180.000000	-0.052607	-0.032345	-0.032487
2190.000000	0.019474	-0.042653	0.041921
2200.000000	-0.021492	0.079033	0.048901
2210.000000	0.006593	0.045146	0.029907
