Time (ps)	Potential	Kinetic	Total
0.000000	-228378.234375	40833.750000	-187544.484375
10.000000	-228123.765625	40673.921875	-187449.843750
20.000000	-227928.375000	40882.675781	-187045.703125
30.000000	-228421.531250	40960.656250	-187460.875000
40.000000	-227361.046875	41007.671875	-186353.375000
50.000000	-229040.250000	40609.078125	-188431.171875
60.000000	-228178.390625	40862.062500	-187316.328125
70.000000	-228357.125000	40565.804688	-187791.312500
80.000000	-227855.750000	40622.914062	-187232.843750
90.000000	-227798.343750	40518.390625	-187279.953125
100.000000	-228532.296875	41172.402344	-187359.890625
110.000000	-227747.156250	41362.671875	-186384.484375
120.000000	-227252.140625	40729.906250	-186522.234375
130.000000	-228278.109375	40755.589844	-187522.515625
140.000000	-229155.406250	40742.746094	-188412.656250
150.000000	-228342.312500	40957.820312	-187384.500000
160.000000	-227960.343750	40780.019531	-187180.328125
170.000000	-228228.562500	41188.371094	-187040.187500
180.000000	-228333.890625	41438.363281	-186895.531250
190.000000	-227724.031250	40705.734375	-187018.296875
200.000000	-227261.625000	40452.550781	-186809.078125
210.000000	-227611.546875	40703.058594	-186908.484375
220.000000	-227294.250000	40689.234375	-186605.015625
230.000000	-229869.859375	40564.867188	-189305.000000
240.000000	-227490.953125	40641.375000	-186849.578125
250.000000	-228040.781250	40998.910156	-187041.875000
260.000000	-228715.484375	40866.101562	-187849.375000
270.000000	-227654.750000	40974.492188	-186680.250000
280.000000	-228104.640625	41357.281250	-186747.359375
290.000000	-228731.406250	40708.375000	-188023.031250
300.000000	-227668.171875	40743.531250	-186924.640625
310.000000	-227550.890625	40308.925781	-187241.968750
320.000000	-227997.765625	40835.273438	-187162.500000
330.000000	-227428.703125	41159.355469	-186269.343750
340.000000	-228524.640625	40714.238281	-187810.406250
350.000000	-227360.078125	40956.578125	-186403.500000
360.000000	-227744.453125	41066.617188	-186677.843750
370.000000	-228464.906250	41411.636719	-187053.265625
380.000000	-228748.828125	41099.167969	-187649.656250
390.000000	-227261.062500	41129.812500	-186131.250000
400.000000	-227369.250000	40890.335938	-186478.906250
410.000000	-228620.125000	41106.867188	-187513.250000
420.000000	-228555.796875	41182.042969	-187373.750000
430.000000	-227966.000000	40380.835938	-187585.156250
440.000000	-227829.625000	40996.984375	-186832.640625
450.000000	-228721.265625	40417.859375	-188303.406250
460.000000	-227575.937500	40663.140625	-186912.796875
470.000000	-228376.984375	40782.117188	-187594.875000
480.000000	-227866.796875	40311.656250	-187555.140625
490.000000	-227714.546875	40671.585938	-187042.968750
500.000000	-227934.234375	40932.187500	-187002.046875
510.000000	-227329.578125	40822.953125	-186506.625000
520.000000	-228167.062500	40999.031250	-187168.031250
530.000000	-228307.828125	40884.109375	-187423.718750
540.000000	-227635.671875	41031.203125	-186604.468750
550.000000	-228363.281250	40318.281250	-188045.000000
560.000000	-228113.859375	41549.679688	-186564.187500
570.000000	-228395.781250	40827.937500	-187567.843750
580.000000	-228376.343750	40752.539062	-187623.812500
590.000000	-227794.859375	41012.906250	-186781.953125
600.000000	-228385.796875	40894.144531	-187491.656250
610.000000	-228017.953125	40573.812500	-187444.140625
620.000000	-227913.640625	40717.500000	-187196.140625
630.000000	-228290.875000	40601.085938	-187689.781250
640.000000	-227740.656250	41354.937500	-186385.718750
650.000000	-227801.718750	41317.089844	-186484.625000
660.000000	-228236.484375	40975.410156	-187261.078125
670.000000	-228151.265625	40896.992188	-187254.281250
680.000000	-228015.656250	41012.660156	-187003.000000
690.000000	-227058.765625	41297.242188	-185761.531250
700.000000	-228449.125000	41150.906250	-187298.218750
710.000000	-228614.921875	40986.179688	-187628.750000
720.000000	-227354.328125	40859.542969	-186494.781250
730.000000	-227800.140625	40879.750000	-186920.390625
740.000000	-228181.468750	40982.988281	-187198.484375
750.000000	-229169.812500	40722.375000	-188447.437500
760.000000	-228101.734375	40745.605469	-187356.125000
770.000000	-228289.734375	40327.429688	-187962.312500
780.000000	-227534.031250	40834.390625	-186699.640625
790.000000	-228449.203125	41108.582031	-187340.625000
800.000000	-227628.109375	40921.601562	-186706.500000
810.000000	-228933.937500	41259.570312	-187674.375000
820.000000	-228517.031250	40820.417969	-187696.609375
830.000000	-228107.421875	40244.476562	-187862.937500
840.000000	-227999.031250	40952.640625	-187046.390625
850.000000	-228566.562500	40654.636719	-187911.921875
860.000000	-227907.734375	40935.343750	-186972.390625
870.000000	-227314.812500	40680.750000	-186634.062500
880.000000	-228514.187500	40989.394531	-187524.796875
890.000000	-227914.312500	40940.742188	-186973.562500
900.000000	-228732.656250	41311.246094	-187421.406250
910.000000	-227416.921875	40951.382812	-186465.531250
920.000000	-228474.484375	41191.945312	-187282.531250
930.000000	-227052.515625	41584.015625	-185468.500000
940.000000	-228039.953125	40741.468750	-187298.484375
950.000000	-228647.125000	40798.804688	-187848.312500
960.000000	-228335.421875	40479.531250	-187855.890625
970.000000	-228027.093750	41381.773438	-186645.312500
980.000000	-228514.125000	40613.210938	-187900.906250
990.000000	-227657.078125	41321.972656	-186335.109375
1000.000000	-227978.281250	40419.710938	-187558.562500
1010.000000	-227826.671875	40921.578125	-186905.093750
1020.000000	-229706.718750	41440.605469	-188266.109375
1030.000000	-228857.046875	40876.808594	-187980.234375
1040.000000	-227718.765625	41235.984375	-186482.781250
1050.000000	-227818.718750	40978.925781	-186839.796875
1060.000000	-228320.734375	40649.714844	-187671.015625
1070.000000	-228719.250000	40697.601562	-188021.656250
1080.000000	-227577.609375	41544.210938	-186033.406250
1090.000000	-228122.750000	40492.054688	-187630.687500
1100.000000	-227597.921875	41191.906250	-186406.015625
1110.000000	-228262.828125	40736.003906	-187526.828125
1120.000000	-228377.843750	40632.464844	-187745.375000
1130.000000	-228533.203125	40739.296875	-187793.906250
1140.000000	-228596.593750	40286.183594	-188310.406250
1150.000000	-227684.078125	40635.812500	-187048.265625
1160.000000	-227508.843750	41060.320312	-186448.531250
1170.000000	-229060.984375	40723.531250	-188337.453125
1180.000000	-228142.343750	41303.425781	-186838.921875
1190.000000	-228690.828125	41246.132812	-187444.687500
1200.000000	-228727.828125	40520.023438	-188207.812500
1210.000000	-227616.906250	40968.023438	-186648.875000
1220.000000	-228123.359375	40608.085938	-187515.281250
1230.000000	-228194.453125	40931.343750	-187263.109375
1240.000000	-228464.031250	40447.816406	-188016.218750
1250.000000	-227605.015625	40481.535156	-187123.484375
1260.000000	-228148.593750	41248.023438	-186900.562500
1270.000000	-227192.234375	41061.179688	-186131.062500
1280.000000	-227246.515625	41257.781250	-185988.734375
1290.000000	-227400.390625	40742.375000	-186658.015625
1300.000000	-227420.375000	40700.992188	-186719.375000
1310.000000	-228475.906250	40887.234375	-187588.671875
1320.000000	-227657.718750	40817.117188	-186840.593750
1330.000000	-228385.906250	41015.546875	-187370.359375
1340.000000	-228212.984375	40864.656250	-187348.328125
1350.000000	-227236.859375	40726.832031	-186510.031250
1360.000000	-228651.593750	41088.781250	-187562.812500
1370.000000	-228548.500000	41181.578125	-187366.921875
1380.000000	-227842.140625	40502.035156	-187340.109375
1390.000000	-227670.968750	40809.437500	-186861.531250
1400.000000	-228287.687500	41463.824219	-186823.859375
1410.000000	-228027.031250	40836.164062	-187190.875000
1420.000000	-227397.640625	40852.464844	-186545.171875
1430.000000	-228006.187500	41046.500000	-186959.687500
1440.000000	-227739.609375	40888.875000	-186850.734375
1450.000000	-228488.781250	40678.480469	-187810.296875
1460.000000	-228034.812500	41170.234375	-186864.578125
1470.000000	-228368.250000	40699.687500	-187668.562500
1480.000000	-228799.000000	40841.921875	-187957.078125
1490.000000	-228217.234375	40807.074219	-187410.156250
1500.000000	-228135.765625	40407.152344	-187728.609375
1510.000000	-228685.468750	41120.484375	-187564.984375
1520.000000	-228025.656250	40729.660156	-187296.000000
1530.000000	-227830.890625	41661.789062	-186169.093750
1540.000000	-227536.500000	40860.605469	-186675.890625
1550.000000	-227108.875000	41304.828125	-185804.046875
1560.000000	-229198.281250	41211.207031	-187987.078125
1570.000000	-228529.781250	40717.695312	-187812.093750
1580.000000	-227941.375000	40533.210938	-187408.156250
1590.000000	-227110.937500	40453.578125	-186657.359375
1600.000000	-227837.296875	41072.714844	-186764.578125
1610.000000	-228253.796875	40620.117188	-187633.687500
1620.000000	-228263.593750	41349.531250	-186914.062500
1630.000000	-227550.093750	41105.601562	-186444.500000
1640.000000	-228167.109375	41109.328125	-187057.781250
1650.000000	-228229.828125	39899.296875	-188330.531250
1660.000000	-227496.734375	41403.273438	-186093.468750
1670.000000	-228009.703125	40814.058594	-187195.640625
1680.000000	-228299.937500	40474.117188	-187825.812500
1690.000000	-228590.687500	41085.937500	-187504.750000
1700.000000	-228858.156250	41474.132812	-187384.031250
1710.000000	-228008.875000	40791.679688	-187217.187500
1720.000000	-228428.031250	40786.031250	-187642.000000
1730.000000	-227365.140625	41154.562500	-186210.578125
1740.000000	-227949.156250	40802.781250	-187146.375000
1750.000000	-227733.750000	40356.730469	-187377.015625
1760.000000	-227523.937500	41031.125000	-186492.812500
1770.000000	-228001.500000	41360.574219	-186640.921875
1780.000000	-228528.609375	40629.789062	-187898.812500
1790.000000	-228668.218750	40882.699219	-187785.515625
1800.000000	-228080.781250	40777.531250	-187303.250000
1810.000000	-228857.140625	40650.097656	-188207.046875
1820.000000	-227983.500000	41026.113281	-186957.390625
1830.000000	-228163.281250	41237.460938	-186925.812500
1840.000000	-228535.500000	40672.226562	-187863.281250
1850.000000	-229468.750000	41210.128906	-188258.625000
1860.000000	-228381.578125	40381.937500	-187999.640625
1870.000000	-227465.796875	40264.246094	-187201.546875
1880.000000	-227480.750000	40841.585938	-186639.156250
1890.000000	-228562.234375	40637.500000	-187924.734375
1900.000000	-228980.953125	40227.000000	-188753.953125
1910.000000	-228153.765625	40509.218750	-187644.546875
1920.000000	-228733.906250	41123.019531	-187610.890625
1930.000000	-227401.046875	41120.515625	-186280.531250
1940.000000	-228474.656250	40472.789062	-188001.875000
1950.000000	-228408.937500	41174.843750	-187234.093750
1960.000000	-227734.421875	40660.503906	-187073.921875
1970.000000	-227876.750000	41051.683594	-186825.062500
1980.000000	-228196.593750	40569.453125	-187627.140625
1990.000000	-227741.515625	40517.187500	-187224.328125
2000.000000	-228081.984375	41059.296875	-187022.687500
2010.000000	-228161.718750	41553.531250	-186608.187500
2020.000000	-227520.453125	40498.187500	-187022.265625
2030.000000	-227691.687500	40640.503906	-187051.187500
2040.000000	-228396.453125	41035.453125	-187361.000000
2050.000000	-227655.921875	40831.238281	-186824.687500
2060.000000	-228917.000000	40921.820312	-187995.187500
2070.000000	-228114.218750	40755.253906	-187358.968750
2080.000000	-228217.140625	40074.398438	-188142.750000
2090.000000	-228085.593750	41067.683594	-187017.906250
2100.000000	-227583.921875	41516.382812	-186067.531250
2110.000000	-228217.000000	40632.070312	-187584.937500
2120.000000	-227025.468750	40988.421875	-186037.046875
2130.000000	-228833.125000	41037.289062	-187795.843750
2140.000000	-227502.453125	40862.562500	-186639.890625
2150.000000	-228296.953125	40633.996094	-187662.953125
2160.000000	-227343.718750	41964.515625	-185379.203125
2170.000000	-227565.156250	41314.820312	-186250.343750
2180.000000	-228256.968750	40776.183594	-187480.781250
2190.000000	-227834.265625	40678.578125	-187155.687500
2200.000000	-227820.859375	41049.007812	-186771.843750
2210.000000	-227947.546875	41120.355469	-186827.187500
2220.000000	-228254.437500	40443.816406	-187810.625000
2230.000000	-228773.890625	40970.433594	-187803.453125
2240.000000	-229064.281250	41539.972656	-187524.312500
2250.000000	-228219.281250	40996.492188	-187222.781250
2260.000000	-228155.484375	40597.515625	-187557.968750
2270.000000	-229063.531250	40783.933594	-188279.593750
2280.000000	-228709.359375	41195.171875	-187514.187500
2290.000000	-228844.296875	40596.238281	-188248.062500
2300.000000	-228671.765625	40803.433594	-187868.328125
2310.000000	-228132.109375	41103.257812	-187028.843750
2320.000000	-227686.828125	41039.269531	-186647.562500
2330.000000	-228517.859375	41150.562500	-187367.296875
2340.000000	-228789.703125	41055.210938	-187734.500000
2350.000000	-228330.859375	40481.675781	-187849.187500
2360.000000	-227649.750000	40906.785156	-186742.968750
2370.000000	-227584.875000	41120.496094	-186464.375000
2380.000000	-227651.312500	40265.023438	-187386.281250
2390.000000	-227868.687500	40640.296875	-187228.390625
2400.000000	-227509.750000	41403.257812	-186106.500000
2410.000000	-228441.906250	41370.410156	-187071.500000
2420.000000	-227947.500000	40867.289062	-187080.218750
2430.000000	-227069.218750	41168.500000	-185900.718750
2440.000000	-227914.812500	40541.632812	-187373.187500
2450.000000	-228186.968750	40268.648438	-187918.312500
2460.000000	-228186.750000	40875.238281	-187311.515625
2470.000000	-227833.656250	40506.511719	-187327.140625
2480.000000	-227706.625000	40785.875000	-186920.750000
2490.000000	-227920.000000	40941.863281	-186978.140625
2500.000000	-227167.640625	40939.074219	-186228.562500
2510.000000	-228236.000000	40609.207031	-187626.796875
2520.000000	-227735.484375	41030.312500	-186705.171875
2530.000000	-228010.531250	41421.992188	-186588.531250
2540.000000	-227759.296875	40469.984375	-187289.312500
2550.000000	-227644.906250	41077.179688	-186567.718750
2560.000000	-228628.765625	40769.046875	-187859.718750
2570.000000	-228499.125000	41085.523438	-187413.593750
2580.000000	-228013.140625	41424.187500	-186588.953125
2590.000000	-228354.234375	41349.507812	-187004.718750
2600.000000	-227652.218750	40940.730469	-186711.484375
2610.000000	-229289.968750	41449.898438	-187840.062500
2620.000000	-228703.343750	40616.425781	-188086.921875
2630.000000	-228540.015625	40759.515625	-187780.500000
2640.000000	-228481.296875	40949.941406	-187531.359375
2650.000000	-228298.515625	41649.636719	-186648.875000
2660.000000	-228594.531250	40015.652344	-188578.875000
2670.000000	-228779.296875	41029.351562	-187749.937500
2680.000000	-227567.812500	40347.765625	-187220.046875
2690.000000	-228811.093750	41643.929688	-187167.156250
2700.000000	-227792.296875	40472.406250	-187319.890625
2710.000000	-227673.468750	41066.843750	-186606.625000
2720.000000	-228548.734375	40804.000000	-187744.734375
2730.000000	-228390.265625	41784.281250	-186605.984375
2740.000000	-228537.984375	41065.222656	-187472.765625
2750.000000	-227997.484375	40222.839844	-187774.640625
2760.000000	-227911.250000	41046.824219	-186864.421875
2770.000000	-227915.484375	40932.015625	-186983.468750
2780.000000	-228973.421875	40983.964844	-187989.453125
2790.000000	-228650.921875	40769.589844	-187881.328125
2800.000000	-228134.921875	41296.164062	-186838.750000
2810.000000	-228334.468750	40875.386719	-187459.078125
2820.000000	-228949.531250	41007.410156	-187942.125000
2830.000000	-227048.140625	40573.890625	-186474.250000
2840.000000	-229542.062500	40899.843750	-188642.218750
2850.000000	-228377.765625	41137.402344	-187240.359375
2860.000000	-228412.703125	40702.332031	-187710.375000
2870.000000	-227504.250000	40695.214844	-186809.031250
2880.000000	-228049.312500	41070.687500	-186978.625000
2890.000000	-228922.078125	40617.828125	-188304.250000
2900.000000	-227483.828125	40568.664062	-186915.156250
2910.000000	-228885.421875	40559.000000	-188326.421875
2920.000000	-228340.843750	40789.445312	-187551.406250
2930.000000	-228992.718750	41042.265625	-187950.453125
2940.000000	-228263.140625	40860.605469	-187402.531250
2950.000000	-227964.578125	41035.750000	-186928.828125
2960.000000	-228343.484375	40740.445312	-187603.031250
2970.000000	-227945.781250	40611.976562	-187333.812500
2980.000000	-228067.250000	41937.269531	-186129.984375
2990.000000	-228216.093750	41113.769531	-187102.328125
